Logreg for gender_female
AUC = 0.82776962,    C = 0.0001
AUC = 0.84912877,    C = 0.0011
AUC = 0.85064585,    C = 0.0021
AUC = 0.85090312,    C = 0.0031
AUC = 0.85076477,    C = 0.0041
AUC = 0.85048727,    C = 0.0051
AUC = 0.85016976,    C = 0.0061
AUC = 0.84984371,    C = 0.0071
AUC = 0.84948315,    C = 0.0081
AUC = 0.84912902,    C = 0.0091
AUC = 0.84877389,    C = 0.0101
AUC = 0.84842349,    C = 0.0111
AUC = 0.84806555,    C = 0.0121
AUC = 0.84771218,    C = 0.0131
AUC = 0.84740016,    C = 0.0141
Logreg for age_15_24
AUC = 0.83313155,    C = 0.0001
AUC = 0.88570736,    C = 0.0011
AUC = 0.89021097,    C = 0.0021
AUC = 0.89188510,    C = 0.0031
AUC = 0.89264390,    C = 0.0041
AUC = 0.89313356,    C = 0.0051
AUC = 0.89335638,    C = 0.0061
AUC = 0.89343569,    C = 0.0071
AUC = 0.89350086,    C = 0.0081
AUC = 0.89347015,    C = 0.0091
AUC = 0.89342231,    C = 0.0101
Logreg for income_high
AUC = 0.67829238,    C = 0.0001
AUC = 0.71643194,    C = 0.0008
AUC = 0.71897577,    C = 0.0015
AUC = 0.71888771,    C = 0.0022
AUC = 0.71803007,    C = 0.0029
