Logreg for gender_female
Logreg for gender_female
AUC = 0.84946036,    C = 0.0011
AUC = 0.85048106,    C = 0.0016
AUC = 0.85088974,    C = 0.0021
AUC = 0.85107596,    C = 0.0026
AUC = 0.85109201,    C = 0.0031
AUC = 0.85101565,    C = 0.0036
AUC = 0.85091712,    C = 0.0041
AUC = 0.85078057,    C = 0.0046
Best AUC 0.85109201, C = 0.0031
Logreg for age_15_24
AUC = 0.89515596,    C = 0.0041
AUC = 0.89539230,    C = 0.0047
AUC = 0.89558697,    C = 0.0053
AUC = 0.89568576,    C = 0.0059
AUC = 0.89575447,    C = 0.0065
AUC = 0.89576341,    C = 0.0071
AUC = 0.89576161,    C = 0.0077
AUC = 0.89578199,    C = 0.0083
AUC = 0.89573610,    C = 0.0089
AUC = 0.89568521,    C = 0.0095
AUC = 0.89562483,    C = 0.0101
AUC = 0.89557844,    C = 0.0107
AUC = 0.89548804,    C = 0.0113
AUC = 0.89541899,    C = 0.0119
Best AUC 0.89578199, C = 0.0083
Logreg for income_high
AUC = 0.68012468,    C = 0.0001
AUC = 0.71284771,    C = 0.0005
AUC = 0.71798440,    C = 0.0009
AUC = 0.71956525,    C = 0.0013
AUC = 0.71991338,    C = 0.0017
AUC = 0.71978393,    C = 0.0021
AUC = 0.71936431,    C = 0.0025
AUC = 0.71884969,    C = 0.0029
AUC = 0.71843955,    C = 0.0033
AUC = 0.71787060,    C = 0.0037
Best AUC 0.71991338, C = 0.0017
