               |  auc   |              matrix constructor                  |        classifier          | # features
---------------|--------|--------------------------------------------------|----------------------------|-------------
 gender_female | 0.7631 | m007b(cut_bound= 5, drop_bound= 1, max_level=10) | LogisticRegression(C=0.05) |   21400
               | 0.7632 | m007b(cut_bound= 5, drop_bound= 3, max_level=10) | LogisticRegression(C=0.05) |   19469
               | 0.7634 | m007b(cut_bound= 5, drop_bound= 5, max_level=10) | LogisticRegression(C=0.05) |   18423
               | 0.7651 | m007b(cut_bound= 7, drop_bound= 1, max_level=10) | LogisticRegression(C=0.05) |   16693
               | 0.7652 | m007b(cut_bound= 7, drop_bound= 3, max_level=10) | LogisticRegression(C=0.05) |   14862
               | 0.7653 | m007b(cut_bound= 7, drop_bound= 5, max_level=10) | LogisticRegression(C=0.05) |   14175
               | 0.7657 | m007b(cut_bound= 7, drop_bound= 7, max_level=10) | LogisticRegression(C=0.05) |   13575
               | 0.7655 | m007b(cut_bound=10, drop_bound= 1, max_level=10) | LogisticRegression(C=0.04) |   13040
               | 0.7656 | m007b(cut_bound=10, drop_bound= 3, max_level=10) | LogisticRegression(C=0.04) |   11276
               | 0.7655 | m007b(cut_bound=10, drop_bound= 5, max_level=10) | LogisticRegression(C=0.04) |   10721
               | 0.7653 | m007b(cut_bound=10, drop_bound= 7, max_level=10) | LogisticRegression(C=0.04) |   10330
               | 0.7658 | m007b(cut_bound=10, drop_bound=10, max_level=10) | LogisticRegression(C=0.04) |    9784
               | 0.7647 | m007b(cut_bound=13, drop_bound= 1, max_level=10) | LogisticRegression(C=0.04) |   10975
               | 0.7649 | m007b(cut_bound=13, drop_bound= 3, max_level=10) | LogisticRegression(C=0.04) |    9240
               | 0.7646 | m007b(cut_bound=13, drop_bound= 5, max_level=10) | LogisticRegression(C=0.04) |    8745
               | 0.7645 | m007b(cut_bound=13, drop_bound= 7, max_level=10) | LogisticRegression(C=0.04) |    8423
               | 0.7648 | m007b(cut_bound=13, drop_bound=10, max_level=10) | LogisticRegression(C=0.04) |    8041
               | 0.7656 | m007b(cut_bound=13, drop_bound=13, max_level=10) | LogisticRegression(C=0.04) |    7638
               | 0.7642 | m007b(cut_bound=16, drop_bound= 1, max_level=10) | LogisticRegression(C=0.03) |    9662
               | 0.7643 | m007b(cut_bound=16, drop_bound= 3, max_level=10) | LogisticRegression(C=0.03) |    7945
               | 0.7642 | m007b(cut_bound=16, drop_bound= 5, max_level=10) | LogisticRegression(C=0.03) |    7481
               | 0.7641 | m007b(cut_bound=16, drop_bound= 7, max_level=10) | LogisticRegression(C=0.03) |    7191
               | 0.7646 | m007b(cut_bound=16, drop_bound=10, max_level=10) | LogisticRegression(C=0.03) |    6850
               | 0.7650 | m007b(cut_bound=16, drop_bound=13, max_level=10) | LogisticRegression(C=0.03) |    6545
               | 0.7646 | m007b(cut_bound=16, drop_bound=16, max_level=10) | LogisticRegression(C=0.03) |    6275
               | 0.7644 | m007b(cut_bound=19, drop_bound= 1, max_level=10) | LogisticRegression(C=0.04) |    8712
               | 0.7644 | m007b(cut_bound=19, drop_bound= 3, max_level=10) | LogisticRegression(C=0.04) |    7001
               | 0.7642 | m007b(cut_bound=19, drop_bound= 5, max_level=10) | LogisticRegression(C=0.04) |    6548
               | 0.7641 | m007b(cut_bound=19, drop_bound= 7, max_level=10) | LogisticRegression(C=0.04) |    6265
